,time,open,close,high,low,volume
983,10 06:54,0.7464,0.74647,0.74647,0.7464,0.03
984,10 06:55,0.7465,0.74654,0.7466,0.74645,0.07
985,10 06:56,0.74648,0.74651,0.74656,0.74648,0.06
986,10 06:57,0.74646,0.74653,0.74653,0.7464,0.06
987,10 06:58,0.74648,0.7464,0.74648,0.7464,0.1
988,10 06:59,0.7464,0.74648,0.74648,0.7464,0.05
989,10 07:00,0.74651,0.74639,0.74651,0.74634,0.08
990,10 07:01,0.74642,0.74653,0.74657,0.74639,0.12
991,10 07:02,0.74649,0.74676,0.74677,0.74646,0.17
992,10 07:03,0.74676,0.7466,0.74676,0.7466,0.12
993,10 07:04,0.74656,0.74666,0.74667,0.74654,0.1
994,10 07:05,0.74666,0.7464,0.74666,0.74638,0.16
995,10 07:06,0.74636,0.7463,0.74636,0.7463,0.05
996,10 07:07,0.74627,0.7462,0.74628,0.74608,0.17
997,10 07:08,0.74624,0.7461,0.74628,0.7461,0.14
998,10 07:09,0.74612,0.74596,0.74612,0.74596,0.11
999,10 07:10,0.746,0.74591,0.74608,0.7459,0.27
1000,10 07:11,0.74592,0.74588,0.746,0.74588,0.11
1001,10 07:12,0.74588,0.74584,0.74601,0.7458,0.18
1002,10 07:13,0.74581,0.74586,0.74598,0.74581,0.11
1003,10 07:14,0.74584,0.74601,0.74601,0.7458,0.08
1004,10 07:15,0.74596,0.74604,0.74604,0.74594,0.1
1005,10 07:16,0.7461,0.74624,0.74626,0.7461,0.09
1006,10 07:17,0.74629,0.74628,0.74632,0.74626,0.09
1007,10 07:18,0.74634,0.74638,0.74644,0.74634,0.17
1008,10 07:19,0.74642,0.7462,0.74645,0.7462,0.1
1009,10 07:20,0.7462,0.74637,0.74644,0.7462,0.24
1010,10 07:21,0.74638,0.74632,0.74648,0.74632,0.09
1011,10 07:22,0.74626,0.74624,0.74626,0.7462,0.05
1012,10 07:23,0.74625,0.74646,0.74652,0.74625,0.21
1013,10 07:24,0.7465,0.74656,0.74656,0.7465,0.02
1014,10 07:25,0.74661,0.74658,0.74661,0.74654,0.05
1015,10 07:26,0.74658,0.74655,0.7466,0.74654,0.05
1016,10 07:27,0.7466,0.74666,0.74682,0.7466,0.23
1017,10 07:28,0.74664,0.74666,0.74674,0.74664,0.1
1018,10 07:29,0.74664,0.74644,0.74664,0.74644,0.07
1019,10 07:30,0.74639,0.74633,0.74641,0.74632,0.1
1020,10 07:31,0.74636,0.74628,0.7464,0.74624,0.09
1021,10 07:32,0.74622,0.7462,0.74622,0.74612,0.11
1022,10 07:33,0.74614,0.74616,0.74616,0.74614,0.05
1023,10 07:34,0.7461,0.74612,0.74612,0.7461,0.03
1024,10 07:35,0.74614,0.74604,0.74622,0.74604,0.08
1025,10 07:36,0.74598,0.74608,0.74612,0.74598,0.08
1026,10 07:37,0.74603,0.74604,0.74608,0.74603,0.05
1027,10 07:38,0.74608,0.74594,0.74608,0.74594,0.05
1028,10 07:39,0.74595,0.74583,0.74595,0.74583,0.12
1029,10 07:40,0.74578,0.74572,0.7458,0.7457,0.07
1030,10 07:41,0.74576,0.7457,0.74576,0.74564,0.09
1031,10 07:42,0.74576,0.7457,0.74578,0.74565,0.12
1032,10 07:43,0.7457,0.7458,0.7458,0.7457,0.03
1033,10 07:44,0.74586,0.74574,0.74586,0.74574,0.06
1034,10 07:45,0.7458,0.746,0.74604,0.7458,0.11
1035,10 07:46,0.74596,0.74606,0.74608,0.74596,0.04
1036,10 07:47,0.74602,0.74595,0.74603,0.74592,0.11
1037,10 07:48,0.7459,0.74596,0.74596,0.74584,0.05
1038,10 07:49,0.74599,0.74614,0.74616,0.74597,0.11
1039,10 07:50,0.74608,0.74616,0.74616,0.74605,0.07
1040,10 07:51,0.74611,0.74617,0.74618,0.74611,0.05
1041,10 07:52,0.7462,0.74615,0.7462,0.74615,0.02
1042,10 07:53,0.74616,0.746,0.74616,0.746,0.04
1043,10 07:54,0.74602,0.7461,0.7461,0.74602,0.03
1044,10 07:55,0.7461,0.74616,0.74622,0.74604,0.1
1045,10 07:56,0.7461,0.74614,0.74614,0.7461,0.03
1046,10 07:57,0.74617,0.746,0.74622,0.746,0.09
1047,10 07:58,0.74594,0.74605,0.7461,0.74594,0.08
1048,10 07:59,0.74605,0.74608,0.74614,0.74596,0.1
1049,10 08:00,0.74608,0.74608,0.7461,0.74602,0.11
1050,10 08:01,0.74604,0.74595,0.74604,0.7459,0.07
